Linea,Grupo,Tipo,Codigo,DETALLE,Costo	
Sin Linea,SIN GRUPO, ,04000793,BCCI-Pet. Triunfo ref. 749045,	
Sin Linea,SIN GRUPO, ,04004AGMS,Lubricante Ext. 753,	
Sin Linea,SIN GRUPO, ,0400791,SERVICIO CADETERIA FAB.,	
Sin Linea,SIN GRUPO, ,0400792,SERVICIO CADETERIA COMERC.,	
Sin Linea,SIN GRUPO, ,0400793,SERVICIO CADETERIA EXTERIOR,	
Sin Linea,SIN GRUPO, ,0400794,SERVICIO DE CADETERIA MKTG.,	
Sin Linea,SIN GRUPO, ,0400795,LICENCIAS WINDOWS,	
Sin Linea,SIN GRUPO, ,0400803,BCCI- PETROQ. TRIUNFO REF: 784657,	
Sin Linea,SIN GRUPO, ,0400925,BCCI-PETROQ. TRIUNFO 759194,	
Sin Linea,SIN GRUPO, ,0401097H,Film B/D cristal impreso Isolant Ondas,	
Sin Linea,SIN GRUPO, ,0401386F,TUBO ISOLANT CRISTAL DE 1500/06 C/FUELLE S/IMPRESION,	
,SIN GRUPO, ,0101509ND,Combustible- Gas Oil,0	
Sin Linea,Productos  Esp., ,01021A,FILM CRISTAL 1.10M,0	
Sin Linea,Productos  Esp., ,01022B,Film A:D: 1.27,	
Sin Linea,Productos  Esp., ,01023A,Film alta densidad 0.86 mt,	
Sin Linea,Productos  Esp., ,01027,PISTOLA DE AIRE CALIENTE BOSH CON BOQUILLA,	
Sin Linea,SIN GRUPO, ,0402C00796,BCCI-PETROQ.TRIUNFO  REF: 762030,	
Sin Linea,SIN GRUPO, ,0402GTOSCONSO,RECUPERO GASTOS DE CONSOLIDACIÓN,	
Sin Linea,SIN GRUPO, ,0402RET,RET.IMPUESTOS EXTERIOR,	
Sin Linea,SIN GRUPO, ,0404C01241,COMUNIC. INTERNAS FAB.,0	
Sin Linea,SIN GRUPO, ,0404C01242,COMUNIC. INTERNAS ADM.,0	
Sin Linea,SIN GRUPO, ,0404C01243,COMUNIC. INTERNAS COMERCIAL.,0	
Adhesivo,Base para Alfombras, ,0404C01246,BUSQUEDA DE PERSONAL ADM.,0	
Adhesivo,Base para Alfombras, ,0404C1245,DONACIONES Y CONTRIB. PILAR,0	
Sin Linea,Productos  Esp., ,01050C,C.T.B.A  x 3mts,0,78	
Sin Linea,Productos  Esp., ,01058A,Caja P/Folletos,	
Sin Linea,Productos  Esp., ,01063A,ALUMINIO 40MIC. COTEADO,	
Sin Linea,Scrap, ,011100A,Lámina Blanca,0	
Sin Linea,Scrap, ,011100B,Lámina Color,0	
Sin Linea,Scrap, ,011101A,Torta Blanca,0	
Sin Linea,Scrap, ,011101B,Torta Color,2,84344817681874	
Sin Linea,SIN GRUPO, ,041104962,BCCI- Pe. BAJA DENSIDAD Hanwha International. FC. Proforma HWI-PE-100609-01,	
Sin Linea,Productos  Esp., ,011200,URNA BLANCA,	
Sin Linea,Productos  Esp., ,011200A,URNAS TECHISTAS,	
Sin Linea,Productos  Esp., ,011200B,CAJAS P/URNAS,	
Sin Linea,Productos  Esp., ,011200C,BLOCKS P/URNAS,	
Sin Linea,Productos  Esp., ,011201,CARPETAS DE CARTON,	
Sin Linea,Productos  Esp., ,011201A,CARPETAS PLASTICAS,	
Sin Linea,Productos  Esp., ,011202,CATALOGO AIRE ACONDICIONADO,	
Sin Linea,Productos  Esp., ,011202A,CATALOGO LINEA INDUSTRIA,	
Sin Linea,Productos  Esp., ,011202AA,Catalogo Linea Industria-caja x 1000-,	
Sin Linea,Productos  Esp., ,011202B,CATALOGO LINEA VIVIENDA,	
Sin Linea,Productos  Esp., ,011202BA,Catalogo Linea Vivienda -caja x 1000-,	
Sin Linea,Productos  Esp., ,011202BP,BP,	
Sin Linea,Productos  Esp., ,011202C,Catálogo Base para Alfombras Caja x 1250,	
Sin Linea,Productos  Esp., ,011202CA,CATALOGO MULTICAPA-CAJA X 100-,	
Sin Linea,Productos  Esp., ,011202CE,TACOS ISOLANT MULTICAPA,0	
Sin Linea,Productos  Esp., ,011202D,CATALOGOS DE PRODUCTO,	
Sin Linea,Productos  Esp., ,011202E,Catálogo Fuego-Caja x 350-,	
Sin Linea,Productos  Esp., ,011202F,catálogo aire Acondicionado -caja x 250-,	
Sin Linea,Productos  Esp., ,011202G,Catálogo CEDRO Paquete x 50,	
Sin Linea,Productos  Esp., ,011202RM,REMUL,	
Sin Linea,Productos  Esp., ,011203,PANFLETOS,	
Sin Linea,Productos  Esp., ,011203A,Panfletos -Caja por 2000-,	
Sin Linea,Productos  Esp., ,011203B,PANFLETOS MULTICAPA,	
Sin Linea,Productos  Esp., ,011203C,Exhibidores Multicapa p/armar,	
Sin Linea,Productos  Esp., ,011203D,Exhibidores p/folletos Multicapa,	
Sin Linea,Productos  Esp., ,011203E,Folletos Galpones Agropecuarios,	
Sin Linea,Productos  Esp., ,011203F,Panfletos Cedro,	
Sin Linea,Productos  Esp., ,011203G,Panfleto Linea Ind + Red,	
Sin Linea,Productos  Esp., ,011203H,Panfleto Línea Vivienda Colocación sobre Losa,0	
Sin Linea,Productos  Esp., ,011203I,Diptico Premios Isolant Plus,0	
Sin Linea,Productos  Esp., ,011203J,Panfletos Base/Piso Acoustic,0	
Sin Linea,Productos  Esp., ,011203K,Panfletos Piso Radiante,0	
Sin Linea,Productos  Esp., ,011203L,Volante ALU FUSION/MTC,0	
Sin Linea,Productos  Esp., ,011204,CAJAS P/ FOLLETOS,	
Sin Linea,Productos  Esp., ,011205,EXHIBIDORES P/ARMAR,	
Sin Linea,Productos  Esp., ,011205A,Bolsa p/Exhibidores -Bolsa x 200-,	
Sin Linea,Productos  Esp., ,011205B,Bolsa para exposiciones Multicapa///Paq. x 800,	
Sin Linea,Productos  Esp., ,011206,CARPETAS ISOCHEQ,	
Sin Linea,Productos  Esp., ,011206A,CHEQUERAS ISOCHEQ,	
Sin Linea,Productos  Esp., ,011206B,SOBRES ISOCHEQ,	
Sin Linea,Productos  Esp., ,011207,TRIPTICOS,	
Sin Linea,Productos  Esp., ,011207A,Diptico Aislación integral,	
Sin Linea,Productos  Esp., ,011207B,Triptico x 400,	
Sin Linea,Productos  Esp., ,011207BA,Tripticos Brasil,	
Sin Linea,Productos  Esp., ,011207BB,Tripticos en ingles,	
Sin Linea,Productos  Esp., ,011207C,Diptico Practi Kit Nº 1-caja x 1100-,	
Sin Linea,Productos  Esp., ,011207CA,Etiqueta autoadhesiva Practi Kit -caja x 5000-,	
Sin Linea,Productos  Esp., ,011207CB,Dipticos Practi-Kit-caja x 1000-,	
Sin Linea,Productos  Esp., ,011207CC,Etiquetas autoadhesivas Linea Industria,	
Sin Linea,Productos  Esp., ,011207CD,Dipticos Kanete Caja por 250,	
Sin Linea,Productos  Esp., ,011207CE,Diptico Rustic,	
Sin Linea,Productos  Esp., ,011207CF,Sobre Cedro,	
Sin Linea,Productos  Esp., ,011207CG,Diptico Covering,	
Sin Linea,Productos  Esp., ,011207CH,Panfletos Covering,	
Sin Linea,Productos  Esp., ,011208,PARASOLES,	
Sin Linea,Productos  Esp., ,011209,HELADERITAS,	
Sin Linea,Productos  Esp., ,011210,REMERAS,	
Sin Linea,Productos  Esp., ,011211,BOLSO MARINERO,	
Sin Linea,Productos  Esp., ,011212,CD SINTESIS,	
Sin Linea,Productos  Esp., ,011213,GEL PACK,	
