Linea,Grupo,Tipo,Codigo,DETALLE,CostoTxt
Sin Linea,SIN GRUPO, ,04000793,BCCI-Pet. Triunfo ref. 749045,0
Sin Linea,SIN GRUPO, ,04004AGMS,Lubricante Ext. 753,0
Sin Linea,SIN GRUPO, ,0400791,SERVICIO CADETERIA FAB.,0
Sin Linea,SIN GRUPO, ,0400792,SERVICIO CADETERIA COMERC.,0
Sin Linea,SIN GRUPO, ,0400793,SERVICIO CADETERIA EXTERIOR,0
Sin Linea,SIN GRUPO, ,0400794,SERVICIO DE CADETERIA MKTG.,0
Sin Linea,SIN GRUPO, ,0400795,LICENCIAS WINDOWS,0
Sin Linea,SIN GRUPO, ,0400803,BCCI- PETROQ. TRIUNFO REF: 784657,0
Sin Linea,SIN GRUPO, ,0400925,BCCI-PETROQ. TRIUNFO 759194,0
Sin Linea,SIN GRUPO, ,0401097H,"Film B/D cristal impreso ""Isolant Ondas""",0
Sin Linea,SIN GRUPO, ,0401386F,TUBO ISOLANT CRISTAL DE 1500/06 C/FUELLE S/IMPRESION,0
,SIN GRUPO, ,0101509ND,Combustible- Gas Oil,0
Sin Linea,Productos  Esp., ,01021A,FILM CRISTAL 1.10M,0
Sin Linea,Productos  Esp., ,01022B,Film A:D: 1.27,0
Sin Linea,Productos  Esp., ,01023A,Film alta densidad 0.86 mt,0
Sin Linea,Productos  Esp., ,01027,PISTOLA DE AIRE CALIENTE BOSH CON BOQUILLA,0
Sin Linea,SIN GRUPO, ,0402C00796,BCCI-PETROQ.TRIUNFO  REF: 762030,0
Sin Linea,SIN GRUPO, ,0402GTOSCONSO,RECUPERO GASTOS DE CONSOLIDACIÓN,0
Sin Linea,SIN GRUPO, ,0402RET,RET.IMPUESTOS EXTERIOR,0
Sin Linea,SIN GRUPO, ,0404C01241,COMUNIC. INTERNAS FAB.,0
Sin Linea,SIN GRUPO, ,0404C01242,COMUNIC. INTERNAS ADM.,0
Sin Linea,SIN GRUPO, ,0404C01243,COMUNIC. INTERNAS COMERCIAL.,0
Adhesivo,Base para Alfombras, ,0404C01246,BUSQUEDA DE PERSONAL ADM.,0
