periodicidad;fecha_insercion;sk_pagina_fb;demografia;sk_dim_demografia;fecha_fact;id_tiempo_dia;cant_fans;cant_personas_alcanzadas;cant_clicks;alcance_organico;cant_unlikes;cant_personas_interaccion;cant_fans_1;cant_personas_alcanzadas_1;cant_personas_interaccion_1;cant_clicks_1;alcance_organico_1;cant_unlikes_1;alcance_organico_nuevo;cant_clicks_nuevos;cant_fans_nuevos;cant_personas_alcanzadas_nuevas;cant_unlikes_nuevos;cant_personas_interaccion_nuevas
day;2017/12/03 23:45:20.171;3;No aplica;-1;2017/12/01 05:00:00.000;20171201;;;18;1245;1;;;;;29;1353;1;-108;-11;;; 0;
day;2017/12/03 23:45:20.171;3;No aplica;-1;2017/11/30 05:00:00.000;20171130;;;29;1353;1;;;;;35;2036;1;-683;-6;;; 0;
day;2017/12/02 23:45:18.743;3;No aplica;-1;2017/11/29 05:00:00.000;20171129;;;35;2036;1;;;;;;;;;;;;;
days_28;2017/12/03 23:45:20.171;3;M:13-17;1;2017/12/01 05:00:00.000;20171201;46;5;;;;;46;5;;;;;;; 0; 0;;
days_28;2017/12/02 23:45:18.743;3;M:13-17;1;2017/11/30 05:00:00.000;20171130;46;5;;;;;46;5;;;;;;; 0; 0;;
days_28;2017/12/02 23:45:18.743;3;M:13-17;1;2017/11/29 05:00:00.000;20171129;46;5;;;;;;;;;;;;;;;;
days_28;2017/12/03 23:45:20.171;3;M:18-24;2;2017/12/01 05:00:00.000;20171201;353;43;;;;3;353;43;3;;;;;; 0; 0;; 0
days_28;2017/12/02 23:45:18.743;3;M:18-24;2;2017/11/30 05:00:00.000;20171130;353;43;;;;3;353;40;3;;;;;; 0; 3;; 0
days_28;2017/12/02 23:45:18.743;3;M:18-24;2;2017/11/29 05:00:00.000;20171129;353;40;;;;3;;;;;;;;;;;;
days_28;2017/12/03 23:45:20.171;3;M:25-34;3;2017/12/01 05:00:00.000;20171201;1375;7351;;;;38;1374;7276;37;;;;;; 1; 75;; 1
days_28;2017/12/02 23:45:18.743;3;M:25-34;3;2017/11/30 05:00:00.000;20171130;1374;7276;;;;37;1374;7205;39;;;;;; 0; 71;;-2
